CoreNumber,ReductionMethod,ToolNumber,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,TechnicalCategory,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,FlakeProfile,ProfileTwisted?,Mass,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,Curvature,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,Notes
d1,freehand,8,CompFlake,,No,B8,11-40%,No,DistalLeftLat,5,Unidirectional,Parallel,Paralell,No,4.91,38.89,36.08,19.26,16.6,5.22,5.15,9.04,3.61,3.91,3,Overshoot,ResidualFacetWithoutBulb,5,HingedRemovals,Yes,NotExpressed,RegCurve,None,ErrailuerScar,NoLip,QuadrangularTrapezoid,No,,
d1,freehand,10,CompFlake,,No,B2,1-9%,No,DistalRightLat,2,Unidirectional,,Ovoid,No,2.62,27.68,23.99,23.58,21.24,5.95,5.76,7.13,0.95,2.15,0,Hinge,NotPrepared,,None,Yes,NotExpressed,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,NarrowLinear,No,,
d1,freehand,13,CompFlake,,No,B4,11-40%,No,Distal,4,Unidirectional,Parallel,Expanding,No,2.43,27.88,25.29,20.56,14.87,5.05,4.33,3.67,2.07,2.4,0.2,Overshoot,NotPrepared,,LongFeatherRemovals,Yes,Centered,OverhangCurveBreak,CompleteFissure,HertzianCone,NoLip,OvularOrTriangular,No,,
d1,freehand,15,CompFlake,,No,B4,11-40%,No,Distal,4,Unidirectional,Convergent,,Yes,1.79,31.57,30.45,14.71,11.72,4.14,3.26,8.03,3.45,3.97,2,Feather,NotPrepared,,LateralNotching,No,Lateral,OverhangCurveBreak,PartialFissure,HertzianCone,NoLip,OvularOrTriangular,No,,
d1,freehand,16,CompFlake,,No,A3,91-99%,YesComplete,WholeDorsal,2,Indeterminate,,Paralell,No,13.44,36.6,34.7,41.36,35.36,12.78,0,4.17,2.71,0,0,Feather,,2,None,No,NotExpressed,OverhangCurveBreak,None,HertzianCone,SmallOrPartialLip,OvularOrTriangular,No,,
d1,freehand,23,CompFlake,,No,B2,11-40%,No,Distal,2,Unidirectional,,Paralell,No,2.77,37.48,37.07,18.71,16.02,5.23,5.18,6.37,4.04,2.66,0,Overshoot,NotPrepared,,None,No,NotExpressed,RegCurve,PartialFissure,HertzianCone,NoLip,OvularOrTriangular,No,,
d1,freehand,27,Shatter,,,,91-99%,,,0,,,,,1.28,23.97,0,15.42,0,5.26,0,0,0,0,0,,,,,,,,,,,,,,
d1,freehand,31,CompFlake,,No,B1,0%,YesComplete,,3,Unidirectional,Parallel,Converging,No,1.19,23.87,24.37,11.5,8.81,6.12,3.94,2.72,0.82,0,0,Feather,,3,LongFeatherRemovals,Yes,NotExpressed,Indeterminate,CompleteFissure,ErrailuerScar,NoLip,ReducedToAnEdge,No,,
d1,freehand,46,CompFlake,,No,B1,0%,Indeterminate,,3,Unidirectional,Parallel,Converging,Yes,0.62,21.26,20.54,11.96,8.35,4.88,2.99,2.4,0.71,0,0.2,Feather,Indeterminate,,HingedRemovals,Yes,NotExpressed,Indeterminate,CompleteFissure,HertzianCone,SmallOrPartialLip,NarrowCurved,No,,
d1,freehand,63,CompFlake,,No,B2,61-90%,YesComplete,Distal,2,Subradial,,Ovoid,No,1.17,20.19,12.94,21.35,16.55,4.81,3.28,0,0,0,1,Overshoot,,2,None,No,Indeterminate,Indeterminate,None,HingedBulb,NoLip,Indeterminate,No,,
d1,freehand,65,CompFlake,,No,B2,1-9%,No,Distal,4,Unidirectional,Parallel,Paralell,Yes,0.21,20.3,20.08,6.44,5.85,1.33,1.25,1.61,0.97,0,1.1,Feather,NotPrepared,,HingedRemovals,Yes,NotExpressed,OverhangCurveBreak,PartialFissure,ErrailuerScar,NoLip,OvularOrTriangular,No,,
d1,freehand,66,FlakeFrag,Distal,,B1,0%,,,4,Unidirectional,Parallel,,,0.23,18.35,0,8.75,0,1.35,0,0,0,0,0,Feather,,,,,,,,,,,No,,
d1,freehand,70,FlakeFrag,Distal,,B4,11-40%,,Distal,3,Unidirectional,Parallel,,,0.15,13.56,0,7.82,0,1.73,0,0,0,0,0,Overshoot,,,,,,,,,,,No,,
d1,freehand,73,CompFlake,,No,B4,1-9%,No,Distal,3,Unidirectional,Parallel,Paralell,Yes,0.23,16.45,16.32,8.87,7.61,2.43,1.42,2.24,0.98,0,0.5,Step,NotPrepared,,None,No,NotExpressed,RegCurve,CompleteFissure,ErrailuerScar,NoLip,NarrowLinear,No,,
d1,freehand,75,FlakeFrag,Distal,,B2,1-9%,,Distal,3,Unidirectional,Parallel,,,0.31,17.9,0,9.87,0,2.11,0,0,0,0,0,Step,,,,,,,,,,,No,,
