DateOfDataEntry,Flaking condition,CoreNumber,ToolNumber,QuartzGrain,QuartzGrainSize,QuartzPlane,LithicArtifactClass,Completeness,EvidenceBipolarPercussion,ReboundForce,TechnicalCategory,FlakeProfile,CortexArea,PlatformCortex,CortexLocation,DorsalScarCount,DorsalDirection,ArisOrientation,CrossSectionType,ProfileTwisted?,FlakeTermination,PlatformPrep,NumberPlatformScars,DorsalPrep,PlatAbrasion,FractureInitiationPoint,PlatformDelineation,FissuringOnPlatform,MarksVentralSurface,Lipping,PlatformMorphology,EdgeDamage,DiagnosticImpactFractures,MaxLength,TechLength,MaxWidth,MaxTechWidth,MaxThickness,MidThickness,PlatformWidth,PlatformThickness,ExteriorPlatAngle,EPACaliper,Mass,Curvature,Notes,Photograph
12.21.15,Freehand,19,1,Grain_Absent,,Plane_Present,CompFlake,Complete,No,,A3,Parallel,91-99%,YesComplete,WholeDorsal,2,Bidirectional,Indeterminate,Other,No,Feather,NotPrepared,,None,No,Lateral,RegCurve,None,HertzianCone,NoLip,QuadrangularTrapezoid,No,,29.14,29.11,14.43,14.41,2.89,2.5,5.31,2.51,1.94,Small,1.78,1.1,,Yes
02.05.16,Freehand,18,1,Grain_Absent,,Plane_Present,CompFlake,Complete,No,,B7,Converging,11-40%,YesComplete,Distal,3,Unidirectional,Parallel,Trapezoidal,Yes,Overshoot,NotPrepared,,None,Yes,NotExpressed,RegCurve,None,None,NoLip,QuadrangularTrapezoid,No,,32.57,24.77,19.56,16.48,7.35,7.35,10.58,4.72,1.96,Small,4.45,0,,Yes
02.05.16,Freehand,16,1,Grain_Present,Coarse_Grain,Plane_Present,CompFlake,Complete,No,,B1,Ovoid,0%,No,,5,Unidirectional,Indeterminate,Domed,No,Feather,NotPrepared,,None,Yes,Lateral,RegCurve,None,HertzianCone,NoLip,QuadrangularTrapezoid,No,,23.84,19.15,25.57,25.56,6.15,6.15,3.96,1.08,1.7,Small,2.6,0.2,,Yes
02.08.16,Freehand,17,1,Grain_Absent,,Plane_Present,FlakeFrag,Mesial,No,,,,11-40%,,LeftLateral,2,BiOrUni,Parallel,Other,No,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,3.51,0,,Yes
02.08.16,Freehand,20,1,Grain_Absent,,Plane_Present,CompFlake,Complete,No,,B4,Expanding,11-40%,YesComplete,Distal,2,Subradial,Convergent,Triangular,No,Overshoot,NotPrepared,,None,No,Lateral,RegCurve,None,HertzianCone,NoLip,OvularOrTriangular,No,,30.57,30.52,32.39,21.4,9.04,6.37,6.28,3.22,1.77,Small,6.43,2,,Yes
02.09.16,Bipolar,25,1,Grain_Absent,,Plane_Present,FlakeFrag,Fragment,No,,,,0%,,,2,Indeterminate,Indeterminate,Other,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,Small,2.69,0,,Yes
02.09.16,Bipolar,23,1,Grain_Absent,,Plane_Present,FlakeFrag,Proximal,Yes,No,,,0%,No,,1,,,,Yes,,NotPrepared,,None,No,Lateral,RegCurve,CompleteFissure,ShearedBulb,NoLip,Crushed,No,,0,0,0,0,7.71,0,1.84,0.92,0.91,Small,3.73,0,,Yes
02.09.16,Bipolar,21,1,Grain_Present,Coarse_Grain,Plane_Present,CompFlake,Complete,Yes,Yes,A3,Parallel,91-99%,YesComplete,WholeDorsal,1,,,,Yes,Splintered,NotPrepared,,None,No,Lateral,RegCurve,CompleteFissure,Crushing,NoLip,QuadrangularTrapezoid,No,,30.19,30.19,25.45,24.05,9.6,8.77,15.15,6.55,2.1,Small,8.32,0,great bp opening flake,Yes
02.11.16,Bipolar,22,1,Grain_Absent,,Plane_Present,CompFlake,Complete,Yes,Yes,B1,Parallel,0%,No,,4,Indeterminate,Parallel,Triangular,Yes,Splintered,NotPrepared,,None,Yes,NotExpressed,RegCurve,CompleteFissure,Crushing,NoLip,Crushed,No,,40.57,39.24,18.12,17.57,13.02,9.91,15.63,2.45,1.03,Small,7.06,0,,Yes
02.23.16,Bipolar,1,1,Grain_Absent,,Plane_Present,FlakeFrag,Mesial,No,No,,,1-9%,,Indeterminate,1,,,,Yes,,,,,,,,,,,,No,,0,0,0,0,0,0,0,0,0,Small,1.1,0,,Yes
