Model (Quartz/Opaline Acc),Variable,Definition,
full_model (0.93/0.87),TechnicalCategory,,
,FlakeProfile,,
,CortexArea,,
,PlatformCortex,,
,CortexLocation,,
,DorsalDirection,,
,ArisOrientation,,
,CrossSectionType,,
,ProfileTwisted?,,
,FlakeTermination,,
,PlatformPrep,,
,PlatAbrasion,,
,FractureInitiationPoint,,
,PlatformDelineation,,
,FissuringOnPlatform,,
,MarksVentralSurface,,
,Lipping,,
,PlatformMorphology,,
,EdgeDamage,,
,EPACaliper,,
,DorsalScarCount,,
,MaxThickness,,
,ExteriorPlatAngle,,
,Mass,,
,Curvature,,
,Elong,,
,PlatElong,,
categorical_model (0.95/0.85),TechnicalCategory,,
,FlakeProfile,,
,CortexArea,,
,PlatformCortex,,
,CortexLocation,,
,DorsalDirection,,
,ArisOrientation,,
,CrossSectionType,,
,ProfileTwisted?,,
,FlakeTermination,,
,PlatformPrep,,
,PlatAbrasion,,
,FractureInitiationPoint,,
,PlatformDelineation,,
,FissuringOnPlatform,,
,MarksVentralSurface,,
,Lipping,,
,PlatformMorphology,,
,EdgeDamage,,
,EPACaliper,,
numeric_model (0.88/0.75),DorsalScarCount,,
,MaxThickness,,
,ExteriorPlatAngle,,
,Mass,,
,Curvature,,
,Elong,,
,PlatElong,,
simple_model (0.79/0.68),Lipping,,
,MaxThickness,,
,Mass,,
,Elong,,
,PlatElong,,
,FlakeTermination,,
